MO;pHCaCl2;K;Ca;Mg;H+Al;Al;S;B;Cu;Fe;Mn;Zn;SB;CTC_efetiva;CTC_total;V
20.0;4.0;1.4;6.0;1.0;80.0;11.0;16.0;0.56;6.3;19.0;33.9;2.3;8.4;19.4;88.4;9.502262443438914
17.0;4.1;1.3;7.0;2.0;76.0;7.0;65.0;0.47;7.5;19.0;38.5;2.5;10.3;17.3;86.3;11.9351100811124
21.0;3.9;1.2;6.0;2.0;84.0;12.0;56.0;0.71;7.1;19.0;12.6;2.1;9.2;21.2;93.2;9.871244635193133
35.0;3.9;2.0;4.0;1.0;76.0;8.0;54.0;0.32;6.3;14.0;20.8;1.9;7.0;15.0;83.0;8.433734939759036
19.0;4.1;1.6;9.0;3.0;68.0;11.0;52.0;0.91;5.5;16.0;27.6;1.7;13.6;24.6;81.6;16.666666666666668
18.0;4.1;1.6;8.0;2.0;72.0;15.0;58.0;0.43;5.7;11.0;25.0;2.0;11.6;26.6;83.6;13.875598086124402
19.0;3.8;1.6;7.0;2.0;72.0;12.0;55.0;0.44;6.2;13.0;31.8;2.0;10.6;22.6;82.6;12.832929782082324
17.0;3.9;2.0;6.0;2.0;80.0;10.0;70.0;0.4;7.1;15.0;9.2;2.2;10.0;20.0;90.0;11.11111111111111
19.0;3.7;1.6;8.0;2.0;77.0;14.0;54.0;0.48;6.4;12.0;17.1;2.1;11.6;25.6;88.6;13.092550790067719
20.0;4.2;1.6;9.0;3.0;60.0;10.0;35.0;0.27;6.2;18.0;19.6;2.6;13.6;23.6;73.6;18.47826086956522
16.0;3.8;1.7;7.0;1.0;84.0;13.0;49.0;0.74;5.7;19.0;29.8;2.4;9.7;22.7;93.7;10.352187833511204
20.0;4.1;1.6;7.0;3.0;70.0;13.0;38.0;0.34;6.3;18.0;18.7;2.3;11.6;24.6;81.6;14.215686274509803
20.0;4.2;1.6;5.0;1.0;66.0;12.0;43.0;0.67;6.9;20.0;23.0;2.2;7.6;19.6;73.6;10.326086956521738
21.0;4.1;1.5;9.0;3.0;60.0;9.0;35.0;0.27;6.1;18.0;20.0;2.5;13.5;22.5;73.5;18.367346938775512
19.0;4.3;1.5;5.0;2.0;68.0;14.0;36.0;0.35;6.4;2.0;21.0;2.0;8.5;22.5;76.5;11.11111111111111
16.0;4.0;1.7;6.0;2.0;60.0;12.0;56.0;0.3;5.9;14.0;21.6;2.2;9.7;21.7;69.7;13.916786226685796
