city;yr;mo;ET0_MES;1_6;7_13;14_16;17_20;21_24;25_27
Jacupiranga;2010;7;2.7293775458437577;2.2107958121334437;3.3298406059293844;3.357134381387822;2.4291460158009444;2.565614893093132;1.4738638747556292
Jacupiranga;2010;8;3.503370907924539;2.8377304354188766;4.274112507667938;4.309146216747183;3.11800010805284;3.2931686534490665;1.8918202902792511
Jacupiranga;2010;9;4.68130360616055;3.7918559209900455;5.711190399515871;5.758003435577477;4.16636020948289;4.400425389790917;2.5279039473266973
Jacupiranga;2011;1;5.938828718816314;4.810451262241215;7.245371036955903;7.304759324144066;5.285557559746519;5.5824989956873345;3.20696750816081
Jacupiranga;2011;10;4.614315978305168;3.7375959424271863;5.6294654935323045;5.675608653315357;4.1067412206916;4.337457019606858;2.491730628284791
Jacupiranga;2011;11;5.48041557500015;4.439136615750122;6.686107001500184;6.740911157250185;4.877569861750134;5.1515906405001415;2.9594244105000813
Jacupiranga;2011;12;4.34163528629777;3.5167245819011934;5.296795049283279;5.340211402146257;3.864055404805015;4.081137169119903;2.3444830546007958
Jacupiranga;2011;2;5.693467549331589;4.611708714958588;6.946030410184538;7.002965085677855;5.067186118905115;5.351859496371693;3.0744724766390585
Jacupiranga;2011;3;4.3904035779561115;3.5562268981444505;5.356292365106456;5.400196400886017;3.907459184380939;4.126979363278744;2.3708179320963003
Jacupiranga;2011;4;3.5568562594097224;2.881053570121875;4.3393646364798615;4.374933199073959;3.165602070874653;3.3434448838451387;1.9207023800812502
Jacupiranga;2011;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2011;6;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2011;7;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2011;8;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2011;9;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2012;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Jacupiranga;2012;10;5.439304790794551;4.405836880543586;6.635951844769352;6.690344892677297;4.8409812638071505;5.112946503346877;2.9372245870290574
Jacupiranga;2012;11;5.513972523689983;4.466317744188887;6.727046478901779;6.782186204138679;4.907435546084085;5.183134172268583;2.977545162792591
Jacupiranga;2012;12;6.032277324775757;4.886144633068364;7.359378336226423;7.419701109474181;5.368726819050424;5.6703406852892115;3.257429755378909
Jacupiranga;2012;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Jacupiranga;2012;3;2.036472459844732;1.649542692474233;2.484496401010573;2.50486112560902;1.8124604892618115;1.914284112254048;1.0996951283161553
Jacupiranga;2012;4;3.581226895907022;2.900793785684688;4.369096813006567;4.404909081965637;3.1872919373572497;3.3663532821526005;1.933862523789792
Jacupiranga;2012;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2012;6;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2012;7;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2012;8;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2012;9;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2013;1;5.917456885437332;4.79314007720424;7.219297400233545;7.278471969087918;5.266536628039225;5.562409472311091;3.1954267181361593
Jacupiranga;2013;10;4.938893400344813;4.000503654279298;6.025449948420671;6.074838882424119;4.3956151263068834;4.642559796324123;2.667002436186199
Jacupiranga;2013;11;5.8861995238981955;4.767821614357539;7.181163419155799;7.24002541439478;5.238717576269394;5.533027552464303;3.178547742905026
Jacupiranga;2013;12;6.727070875923991;5.448927409498433;8.207026468627268;8.274297177386508;5.987093079572352;6.323446623368551;3.6326182729989553
Jacupiranga;2013;2;5.429431571861331;4.397839573207678;6.623906517670823;6.678200833389437;4.832194098956585;5.1036656775496505;2.9318930488051187
Jacupiranga;2013;3;4.27828098980272;3.465407601740204;5.219502807559318;5.262285617457346;3.8076700809244213;4.021584130414557;2.3102717344934693
Jacupiranga;2013;4;3.682388148731888;2.98273440047283;4.492513541452904;4.529337422940222;3.2773254523713806;3.461444859807975;1.9884896003152197
Jacupiranga;2013;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2013;6;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2013;7;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2013;8;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2013;9;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2014;1;6.398825861917815;5.183048948153431;7.806567551539734;7.870555810158912;5.694955017106856;6.0148963102027455;3.4553659654356204
Jacupiranga;2014;10;5.4286725032653536;4.397224727644937;6.622980453983732;6.6772671790163844;4.831518527906165;5.102952153069432;2.9314831517632913
Jacupiranga;2014;11;5.34162681294383;4.3267177184845025;6.516784711791472;6.570200979920911;4.754047863520009;5.0211292041672;2.8844784789896685
Jacupiranga;2014;12;6.057197924063331;4.906330318491299;7.389781467357264;7.450353446597897;5.390906152416365;5.693766048619531;3.270886878994199
Jacupiranga;2014;2;5.770331085156194;4.6739681789765175;7.039803923890556;7.097507234742118;5.135594665789013;5.424111220046822;3.115978785984345
Jacupiranga;2014;3;4.419100404383385;3.579471327550542;5.391302493347729;5.435493497391564;3.9329993599012125;4.153954380120381;2.386314218367028
Jacupiranga;2014;4;3.39153709861213;2.7471450498758254;4.137675260306799;4.17159063129292;3.018468017764796;3.1880448726954023;1.8314300332505504
Jacupiranga;2014;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2014;6;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2014;7;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2014;8;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2014;9;3.977562291176073;3.221825455852619;4.852625995234809;4.89240161814657;3.540030439146705;3.7389085537055085;2.1478836372350796
