city;yr;mo;da;latitude;prcp_dia;tmax;tmin;med_temp
Barra do Turvo;2009;3;18;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;3;19;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;3;2;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;3;20;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;3;21;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;3;22;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;3;23;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;3;24;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;3;25;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;3;26;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;3;27;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;3;28;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;3;29;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;3;3;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;3;30;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;3;31;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;3;4;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;3;5;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;3;6;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;3;7;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;3;8;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;3;9;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;4;1;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;4;10;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;4;11;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;4;12;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;4;13;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;4;14;24;0.0;0.0;0.0;0.0
